PhraseNo,Phrase,IsHateSpeech
1342,සුදු තාත්තී.... කියපු කටින්ම තමයි.. වේස බල්ලා කියන්නේ..,YES
1343,අගමැතිකම් ඇමතිකම් වේස ගෑණු වගේ පිම්පියන්ට ඕනේ ඕනේ විදිහට විකිනෙන රටක් නම් ඇමරිකාව තමයි ඉතින්,YES
1344,වේස මේසන් බාස්ලා එක්ක වැඩ කරන්න ගියාම තමයි ගෙවල් හදන එක එපා වෙන්නේ..,YES
1345,"ආ...දැන් ට්‍රම්ප්නුයි ඉන්දියාවයිද පලි?මුන්ගේ $%^&*&^%$ට වේස හාවෝ රැල, වෙලාව හොයන් හරි ආර්ථික ලෝක වාර්තා ටික මුන්ට පෙන්නන්නෝන ලිපි සෙට් එකත් එක්ක",YES
1346,මේ ට්වීට් එකෙන් යම් කිසිවෙකු අපහසුවට පත් වන්නේ නම් තරහා අවසර. අරුං අර වට වෙලා කෙල්ලෙකුට නෙලනකොට හිතෙන්නේම මෙන්න මේම දෙයක්. කට කෑවත් කියන්ඩම වෙනෝ ඉතිං. මල්ලේහ්.... මෑ මලකින් පු& වත් ඇර ගත්තද ඔච්චරම නටන්නෙ. නොදකිං අඩු කුලේ පර වේස හැත්ත. ගංගා මෑණියන්ගේම පිහිටයි....!!!!,YES
1347,ලංකාවේත් ඉන්නවා ගැබිනි මවක් උනත් බඩුවක් වගේ දකින් මහ වේස හැත්තක්..කටු කම්බි වැලක් කොසු මිටක ඔතලා පිටිපස්සෙන් ඔබන්න ඕනේ ඕකුන්ට ඇමිනෙන්න..,YES
1348,"මිනිස්සු ආතල් එකේ ඉන්නවට මං පට්ට කැමතියි. . හැබැයි මං දන්න කියන උන් කොහෙවත් ඉන්න ගොං වේස පක්කු එක්ක සෙට් වෙලා මගෙන් ආතල් ගන්නවට මං කැමති නෑ. . . මං දෙන ආතල් වෙනයි, මගෙන් ආතල් ගන්න එක වෙනයි !",YES
1349,එකෙක් මාස ගානේ පොඩි එකා එක්ක කෝච්චියට පැනලා. තව එකියක් මාස ගානේ පොඩි එකාව මරලා. එක්කෝ මේ වේස හැත්ත දරුවෝ නොහද ඉන්න ඕනා. මහ උන්ගේ කාලකන්ණිකම් වලට අර හය හතර නොදන්න උන් සංසාරගත පව් ගෙවනවා.,YES
1350,මං ට්විටර් එකට ආපු පොඩි කෙල්ලෙක් උනානම්.. වේස බඩුව වගේ හැම එකා එක්කකම කේක් කන්න යනවා..තේබොන්න යනවා විතරක් නෙමෙයි රූමුත් යනවා.. හොද වෙලාවට මම වගේ වල් අදාස් තියෙන එකෙක් කොල්ලෙක් වුනේ..,YES
1351,"වේස බඩුව වගේ නීතිය හා සාමය ඇමතිකම අතින් අත මාරු කරකර ඉඳලා විතරක් මදි. නීතිය හා සාමය රකින්නත් වෙයි. අම්පාර, නුවර ගිනිගත්තා. සුමානෙකට හමාරකට සැරයක් කොළඹ වෙඩි තියනවා. මැති ඇමතිලා නිකං අපි රටේ නෙවෙයි වගේ සන්තෝසෙන් කාලේ ගෙවනවා. ඊයා",YES
1352,සන්නස්ගලගෙ අම්මට කියල තමා අක්කෙ කියන්ඩ තියෙන්නෙ.. සින්හල එවුන් පකයො. මුස්ලිම් එවුන් මිතුරො. මේ වගේ වේස හැත්ත තමයි වර්ගික ගැටුම් වලට මුල.,YES
1353,වැරදි දේට වැරදී කිව්වාට කොටින්නටනම් කඩේ යන්නේ නෑ මේ පන තියනකම්. වේස බල්ලො,YES
1354,මේ වේස බල්ලො බැල්ලියෙක් දැක්ක ගමන් පාර හරහා පනිනවා ඇහිල්ලක් බැලිල්ලක් නැතුව. තව පොඩ්ඩෙන් එක බැල්ලිගේ පුතෙක් පරලොව යනවා වාහනේ වැදිලා,YES
1355,"අම්මපා, ඉන්දියන් වේස බල්ලෝ එන එකට කටක් අරින්නේ නෑ, මෙතන එන්වා NSBM වහන්න, ගොං යක්කු",YES
1356,"උගෙ අම්මට වේස හාව! හෑ යකෝ,සිංහල උන් ඉන්න තැන් වලින් හරවල දෙන වතුර ටික උතුරට ගිහින් සිංහල උන්ට පාවිච්චියට ගන්න බැරිද?",YES
1357,බල්ලන් එක්ක නිදාගත්තම නැගිටින්න වෙන්නේ මැක්කෝ එක්ක.. වේස ගෑණු එක්ක වාද කරන්න ගියාම වෙන්නෙත් ඕකම තමයි,YES
1358,අනේ මෙන්න මූ ජීවත් උනා ඇති ගහලා මරපියව් පොල්ලකින්,YES
1359,එහෙමයි කියල මෙතන ඇවිස්සිලා ගහපියව් මරපියව් කියල හරියන්නෑ. පොඩි දේකින් තමා ආයෙ ඇවිලෙන්නෙ. තාමත් ඒ මිනිස්සු ඇයි ප්‍රභාකරන්ට ආදරේ කියල හොයන්නයි ඕන. මෙතන ඉඳන් මොන බයිලා කියෙව්වත් එහෙ වෙන දේවල් අපි දන්නෙත් නෑ. මෙහෙ වෙන දේවල් එයාල දන්නෙත් නෑ.,YES
1360,අනේ මචංලා තම්බි මරපියව් දෙමලා මරපියව සිංහලයා මරපියව් කියන Link මගෙ Inbox එකට එවන්න එපා Plzzzz,YES
1361,""" වරෙව් මෙන්න වලහෙක්...., අපේ ජාතිය වඳ කරන්න ආපු වලහා, මරපියව්! ගහපියව්!කොටාපියව්! ගිණි තියපියව්!. ""...",YES
1362,"බුද්ධ ධර්මය විනාශ වන්නේ සරණාගතයින් 31කින් ද? ""ගහපියව්! මරපියව්!"" කෑ ගහන සිවුරු කාරයින්ගෙන් ද?",YES
1363,"ගේම මොළෙන් ගහන්න බැරිනම්, විනාශ කරපියව් , කොටපියව්, මරපියව්. -පශ්චාත් නාකි විප්ලවකරැවනගේ අඳෝනාව-",YES
1364,මාව මරපියව්.. රෙද්ද.. ඇති වෙලා තියෙන්නෙ මේ ජීවිතේ,YES
1365,"පන්සලට ගිහින් පානාතිපාතා වේරමණී කියලා, බුදු දහම බේරගන්න ගහපියව් මරපියව් කියන එවුන් ඉන්න රටක බුදු දහම රැකෙයිද?",YES
1366,"වැරැද්දට දඩුවම තීරණය කරන්නේ නැතුව වැරැද්ද වෙන්නේ කොහෙන්ද ඒක නවත්තන්නේ කොහොමද කියලා බලන්නේ නැතුව මරපියව්,...",YES
1367,උදේ ඉඳං FB ඉඳලා ඉඳලා ටුවි ආවේ දැන් ඉතිං බොලාලා මාව මරපියව්!,YES
1368,මම අයහපත් දෙයක් කරනවද ?? (එහෙම කරනව නම් ගහල මරපියව්),YES
1369,කොටපියව් මරපියව් කැ නොගහා ......,YES
1370,ඉංදියාවෙ ධීවර හැත්තත් එන්නෙ ලංකාවෙ හාල්මැස්සට කොටන්ඩ.මරපියව් උං,YES
1371,එල කිරි මරපියව් ඕකුන්ව,YES
1372,මාව මරණ්න බලාන ඉන්න එවුන් ඉන්නවා නම් මරපියව් මාව.. ලොකු උදවුවක්!,YES
1373,"""ගහපියව්, මරපියව්"" - බෝ පැළය කපා දැමීමෙන් නිවන අහිමි වූ බෞද්ධයන්",YES
1374,ලිස්ට් එකෙ බාගයක්ම ඉන්නෙ දකුනෙ උන්...ඒත් උන් ආතල් ..විහිලු දන්නවා..ඒ අතරෙ විහිලුවක් නොද්න්න අබ්බගාත ඩයලුත් ඉන්න්වා නෙද්දකිම් කාලකන්නි....සුනාමියක් වරෙන් කියලා පොස්ට් එකක් දැම්මා..දකුනෙ උන් බය වෙලා,YES
1375,ඒ ලස්සන සින්දුවට කාලකන්නි Video එකක් ගහලා ඒක කන්න නං එපා.,YES
1376,දකුණ කියන්නෙ එහෙම් පිටිම්ම ලැට් වලක් අප්පිරියයි ඔකුන් ඔක්කොම හැදිගෑවිලා පලකො සුනාමියක් වත් ඇවිත් කාලකන්නි නෙද්දකිම් ලන්කාව කන්නෙ දකුනෙ උන් .. - කලකිරුණු බවක් දැනෙමින්,YES
1377,මේ කාලකන්නි හින්දා තමයි මේ රටට කෙල වෙලා තියෙන්නේ.... හරි පාලනයක් නැති උනාම මෙහෙම තමයි. රනිල් ඇතුලු සමනල කැල තමයි මේකට ප්‍රධාන හේතුව. UNP කියන්නෙනං දැං රටට සාපයක්..,YES
1378,මහාරාජා මාධ්‍ය ජාලය වහලා දාන්න.. මිනිසුන්ගෙ ඔළු කාලා ඉන්දියන් මඟුල පුරවලා මේ රට කාලකන්නි කරලා තියෙන්නෙ සිරස ඇතුළු මහරාජා මාධ්‍ය ජාලය,YES
1379,අපි කාලකන්නි ඡනතාවක් වන්නෙමු !,YES
1380,පැය ගානක් කාලකන්නි වෙන්න යන්නේ..,YES
1381,ටොයියන්ගෙ මොළේ දමන්න ඕන ඇළේ මුං මෙච්චර පැහැදිලි ව මේවා කියලත් රටක් ගැන නොසිතා අන්ධ කොර බිහිරි වහල්ලු වගේ රනිලගෙ පස්සෙ දුවනවට. අන්තිමට #රි කාපු රිලව් වගේ විරුවගෙන හිටපියව්..!!! කාලකන්නි සක්කිලි බල්ලො,YES
1382,ඔය වගෙ ඉන්න උන් ටිකම නැතත් උන්ගෙ දුවා දරුවො නැත්තන් ලේකම්ලා තමයි බහුතරයක් ඇවිල්ලා ඉන්නෙ වෙනස් උන් එන්නෙ නෑ මලාට ඡන්දයක් තිබ්බා කියලා වෙනස්ම උන්ටිකක් ඇවිල්ලා මේ රට හදන්නෙ නෑ..පැරදුනත් ලිස්ට් එකෙන් හරින් කාලකන්නි ටික එනවා..,YES
1383,"තමන් උත්සහයකින් ආයාසයෙන් ලබා නොගත් උපතින් ලැබුන ජාතිය සහ ආගම කියන ලේබල් දෙයක් ගැන නිතරම ආඩම්බර වෙන්නේ තමාට අමුතුවෙන් ආඩම්බර වෙන්න දිනාගත් දෙයක් නැති පුස්සන්, නිකමුන් කාලකන්නි !! පුළුවන් නම් ආඩම්බරයි කියල දාපල්ලා මම...",YES
1384,මම කාලයට වෛර කරනවා. මගෙ හැමදේම කාලය මගෙන් උදුරන් ගියා. මගෙ ඇස් ඉස්සරහම මට අයිති හැම දේම හොරු අරන් ගියා වගේ මගෙන් ඈත් කලා. කාලය මගෙ හිත ඇරුනම හැමදේම වෙනස් කලා. මගේ හැමදේම මට නැතිකලා. මං වෙනුවෙන් දෙයක් කලා නම් ඒ මාව කාලකන්නි කල එක විතරයි.,YES
1385,"Please දැන්වත් හැදියල්ලා.... පහුගිය පරම්පරාවේ ජරාගති වලින් දැන්වත් මිදියල්ලා. කොච්චියකට නගින්න ගියත් පොරකනවා... බැංකුවට ගියත්,බෙහෙත් ටික ගන්න ගියත් පොලිම් පැනලා ඉවසීම නැති කාලකන්නි වගේ හැසිරෙන...",YES
1386,Ol ලියලා පස් වෙලා...තව අවුරුදු දෙකක් AL කරලා විබාගෙ චොර කරගෙන කාලකන්නි වෙනවට වඩා හොදයි..එක පාරින්ම ol ෆේල් වෙලා ඒ අවුරුදු දෙක කොස් එකක් වත් කරලා ගොඩයන එක...ol ලියන ඔක්කොම උන් ෆේල් වෙයන්....උන් ජීවිතෙ හදාගන්නවා වැරදුන හින්දා...,YES
1387,මෙන්න මේ වෙලේ මිනිස්සු සමච්චලේට ලක්කරපු එකේ කරුමෙ තමා මුන්ට පාරා වලල්ලක් වෙලා ඇවිත් කෙල උනේ.මුන්ට කෙල උන එක ගැන මට නම් තියෙන්නෙ පුදුම සතුටක්.කාලකන්නි පර බල්ලෝ,YES
1388,"මම ශ්‍රි ලාංකිකයෙකු වීම ගැන ආඩම්බර වෙමි. ලංකා මෑණියන්ගේ දරුවෙකු වීම ගැන අතිශය උද්දාමයෙන් සිටිමි. කාලකන්නි පිරිස් කිහිපයක් රටේ දේශපාලනයට, ජිවන රටාවට වින කල පමණින්, එයට මේ උතුම් මාතෘභූමිය පලි නැත.",YES
1389,මනුස්සයෙක් සියදිවි නසාගත්තම ඒකට බැනල පෝස්‍ට් දාලා අහින්සක පොඩි ලමයි ටිකකගෙ පදක්කම් ටිකක් දැක්කම ඒක බලන් ඉන්න බැරුව ඒ ලමයින්ට සියදිවි නසාගන්න හිතෙන තරම් කැත විදියට පෝස්ට් හදල දාලා ලයික්ස් හිගාකන කාලකන්නි පේජ් ඇඩ්මින්ල ටික අල්ලල වෙන කොහෙටහරි ගිහින් දානකම් ලංකාව නම් හදන්න වෙන්නෙ නෑ,YES
1390,"කාලකන්නි රාජපක්ෂ මෛත්‍රී නඩය පන්නා දැමීමට පෙරමුනට ආ ජනතාවට මාගේ ප්‍රනාමය...!!!"" Confused ... #lka #ConstitutionalCrisisSriLanka",YES
1391,"තියටර් එක ඇතුලෙ ඔපරේශන් එකක් කරපු පොඩි ළමයෙක්ට සිහිය එනවා.. පොඩි එකා සිහිය ආපු ගමන් ඇහුවෙ කෝ ආච්චි කියල.. මොකද එයා ආවෙ ආච්චි එක්ක.. එතන හිටපු නර්ස් වේසි ඇහුව ""ඇයි අම්ම විකුනලද?"" කියලා.. -කරාපිටිය ඉස්පිරිතාලෙ කාලකන්නි වසංගත ගෑනියෙක්-",YES
1392,News වල දේශපාලුවො කතාකරද්දිත් යකා ආවෙස වෙනවා.. මුන් වගේ කාලකන්නි හැතිකරයක්..නොදකින් තූ..,YES
1393,උනුත් කාලකන්නි වෙලා අපිවත් කාලකන්නි කරනවා...කවද්ද යකෝ ඩිග්‍රිය ගන්නේ... උන්ගෙ එවුන්වත් නැහැ සෙනට් එක යට...මහ ලොකු ෆැකල්ටිය...,YES
1394,"ලංකාවේ ඉංජිනේරුවන්,ගණකාධිකාරීවරුන්,කළමණාකරුවන්,වෛද්‍යවරුන් පමණක් ලොව ජයගත්ත උන්,සියලන්ගේ ආදරයට පාත්‍රවන්නන්, දෙමවුපියන්ගේ සිත් සතුටු කරන්නන් වන අතර ස්වෝත්සහයෙන් නැගීසිටින්නන්,රණවිරුවන් නිර්මාණකරුවන් දෙමාපියන්ට ලජ්ජා ඇතිකරවන සුලු, නීච,අධම,පාහර,කාලකන්නි වේ අනේ වදින තැනකට වැදියන්..",YES
1395,මේ අන්තරේ **** *** හින්ද නිදහසේ පාරෙ බැහල යන්න නෑ. කාලකන්නි හැත්ත.,YES
1396,අනේ පලයන් රංජන් ඔබ ගෝඨාභය එක්ක හැප්පෙන්න... උඹ මහ මෝඩ මිනිහෙක් විතරයි,YES
1397,"අනේ පකේ ලොජික්, යකෝ හෙල්මට් එකක් තියෙන්නේ රවුමට කොහේ හරි වැදුනම ස්ලිප් වෙලා යන්න, ඒනම් ඕව හතරැස් කරල එවන්න තිබ්බනේ, ඔය අටමගල දාගෙන ගිහින් කොහේ හරි වැදුනම බෙල්ල මුලින්ම කැඩිල යන්නේ,ඔලුවට හුලන් වදින්න ඕනානම් බයික් එක නවත්තලා හෙල්මට් එක ගලෝල ටිකක් හිටපන් නවත්තගෙන, හැමදාම නෑවාම ඔලුව කසන්නේ නෑ,",YES
1398,මොකක්ද බං පොන්න හුත්තෙග්ගේ වැඩක්..යකෝ ඔලුව කහනවනම් නාපං මල පෙරේතයා,YES
1399,ඉස්සරහට ශැශේ පැකට් එකක් එයි රුපියල් 10යි කියලා. . ටහුකන රටක් මේකන්ම්. . එක එකා ගහන ගේම් අපි බලන් ඉන්නවා.,YES
1400,පේජ් කාරයන්ට සල්ලි ගෙවලා මාකට් කරනවා මේකෙ ඉන්න ගොං හරක් කමෙන්ට් කරනවා. කමෙන්ට් කරන එවුන්ට හම්බ වෙන ලබ්බක් නෑ. ඊයා.....,YES
1401,උඹට බොන්න පුලුවන්නම් එකෙම්ම ඈ පොඩි පකයා,YES
1402,අයියා පකයා වගේ කියන එක වෙන්ටැ මේ කියල තියෙන්නෙ..,YES
1403,කවුන්ටරෙන් දුන්න නෙවෙයි. උත්සව අත්තිකාරං ලෝන් හැමෝම පනස්දහ ගන්නෙ අරූ විසිපහක් ඉල්ල පුරුද්දට ඌටත් පනහක් දුන්නා. පකයා පනහම අරගෙන විසිපහකට වාරිකෙ දානව මාස තුන ඇරියස් උනාම දැනගත්තෙ,YES
1404,"මේ ""දේශපාලන පකයා"" හිතාන ඉන්නවා ඇති මේ රටේ ඔක්කොම බුවා කියන කියන කතාව විශ්වාස කර ගෙන බුවාට සෙත් පතන ""වහල්ලු"" කියලා.... අපි කියන්න කැමතියි... ""වසන්ත, තෝ මොන පක්ෂෙ උන්නත් මලත් අපට ඇති රුදාවක් නැත. තොපි වගේ...",YES
1405,තට්ටෙ ගාගෙන ෆුල් ශේව් කරන් හද මාමා වගේ හිටපන්කො පකයා නොවී,YES
1406,ඇට දෙකෙන් හුකන්න පුලුවන් කියලා හිතන් ඉන්න උට්ටෙක්ට. මේකේ සමහර පකයලටත් තේරෙන්නෑ ජෝක් එකක් කරලා ආතල් එකේ ඉන්න. උං හිතං ඉන්නේ මිනිස්සු sm එන්නේ ගෑණු හොයන්න විතරයි කියලා. පූසිගෙ වෙතාලා. ඒ පකයා දන්නෑ තාම...,YES
1407,දවල් ෆිල්ම් වගයක් බාගෙන ගියා data package එකම ඉවරවෙලා දැන් හිටපන්කො ඉතින් පකයා වගේ මාසෙ ඉවරවෙනකල්..,YES
1408,"(1)ලිංගික අවයව මුල්කරගෙන හටගන්න කුනුහරප,මේවා ඉතිරි කුනුහරප සෑදීම සදහා දායක වේ යෝනිය=හුත්ත,කිම්බ ශිෂ්නය= පක,පයිය නපුංසක=පොන්නයා හුත්ත ප්‍රාණවාචී කිරීමෙන් ""හුත්තා"" සහ හුත්තීද ""පක"" ප්‍රාණවාචී කිරීමෙන් ""පකයා""ද හටගනී",YES
1409,"එම ""කැරි"" ප්‍රාණවාචී කිරීමෙ ""කැරියා"" යන කුනුහරපය හටගනී... (4)ලිංගිකත්වය ආශ්‍රිත රැකියා මුල්කරගෙනද කුනුහරප හටගනී... ගණිකාව,වෛශ්‍යාව=වේසි,බඩුව (5)ඉහත දැක්වූ මූලික කුනුහරප දෙකක් එක්වීමෙන් නව කුනුහරප හටගනී... වේස හුත්තා වේස හුත්තී පොන්න පකයා පොන්න කැරියා කැරි පොන්නයා",YES
1410,"ජොන්ස්ටන් පකයා කියනවා කතානායකට චූ ගියාලු, අපි දැක්කා ඕයි ප්‍රසන්න රණවීර වතුර හලනවා පුටුවේ. ලැජ්ජයි ඕයි ලැජ්ජයි.",YES
1411,"දම් රැජිණලා බස්සවලා එපා වුනාම අන්තිමට දම් පකයා,දම් වේසි එහෙම එන්නත් බැරි නෑ ඔන්න",YES
1412,කෝච්චිය පෙනි පෙනී දූව ල ඇවිත් ටිකට් ඉල්ලුවම කවුන්ටරෙ පකයා රුපියලක් අඩුයි කියල ටිකට් එක නොදී ලෙටුවා.. කෝච්චිය මිස් උනා.පැයක් මෙතන ඉන්නෝන ඊලග එකට..,YES
1413,කරකාරෙට බැන්දා නම් මෙයින් මතූ හිකුවානම් පකයා සේ සිටිය යුතූ කියලා පුරාණ සෘශිවරු පුස්කොල පොත් වල ලිව්වේ කට කහනවට නොවේ ආයිබොවන්ඩ..!!,YES
1414,"මෙහ් අහන්ඩකො, පකයා කියන එක හැදිලා තියෙන්නෙ ෆක් යූ කියන එකෙන්ද දන්නෑ නෙ?",YES
1415,කව්ද හුත්තෝ දූරියන් අරන් බස් එකට නැග්ග පකයා,YES
1416,අර සිවාජිලිංගම් කියන පකයා එතකොට ජාතිවාදී නැද්ද? අපිට තමා එක එකා රෙද්ද උස්සන් එන්නෙ.,YES
1417,"කැරි පොනනයා හුකවගන්න හදන්නෙ...පකයා,රෙන්න තියෙන පුක දෙන්නෙ නැතුව හිටපන් හුජ්ජ පොඩි එකා...",YES
1418,පකයා සැලරි දාලා නෑනේ,YES
1419,"ගල්කිස්සේ Silver Wok එකේ ඉන්නවා තට්ට නාකියෙක් (ඔව් තරහට කියන්නේ) . ඒ පරයට සිංහලෙන් මොනා හරි කිව්වත් ඉංග්‍රීසියෙන් උත්තර දෙන්නේ. ඌ හිතන් ඉන්නවා කඩේ කැෂියර් වැඩේ කලාට, ඉංග්‍රීසි ටිකක් කියෙව්වම ඌ හෙන ලොකු පොරක් කියලා අපි හිතයි කියලා. . අනේ උගේ ලොකු ! ගොං පකයා",YES
1420,ඊය හුත්ටෝ මේ මියුසිකල් සෝ වල එනවුන්ස් කරන උන්ගේ කැත... අර සුරවීර කියල අයි ටී එන් එකේ නයට කහින පකයා පේන්නම බෑ මට... ඌ සින්දුව කියන එකාටත් සින්දු උගන්නවා...,YES
1421,තොපි මෙහෙම ට්‍රිප් යනවනං ලඟපාත ඉන්න මේ අපිටත් කියලා පලයව්,YES
1422,සතරවරම් දෙවි නාමයෙන් පලයව් - අගමැති රනිල් වික්‍රමසිංහ ගාල්ලේ දී කියයි - SIRI GOSSIP,YES
1423,එක්සෑම් නේද පලයව් යන්න,YES
1424,ඔය බදිනව කිය කිය ඉන්න එවුන්ට කියන්නෙ අපිට වෙඩින්ග් කියන්න මහන්සි නොවි පැනය පලයව් සෙද්ද .....,YES
1425,පොලිසියටත් මිරිස් කුඩු ගැහුවා...කාලකන්නි වේසිගේ පුතාලා පලයව් කඩේ ඕකුන්ට...ඇවිත් සතියයි..මාසයක් ගියොත් මොනා කරයිද ?,YES
1426,මහින්දත් එපා.! රනිලුත් එපා.! සිරිසේනත් එපා.! තොපි එකෙක්වත් එපා.! මකබෑවිලා පලයව්...,YES
1427,ගහපල්ලා නියග තියෙන පැතිවල ග්‍රවුන්ඩ් ක්‍රිකට් මැච් ඔක්කොම අරන් පලයව් ඒ ග්‍රවුන්ඩ් වලට මහ වැසි වහීවි...සීත සුළං හමාවි...නියග පහවයාවි මැච්නම් ගහනවා බොරු,YES
1428,තොපි මොකා බැන්දම අපිට මොකද යකෝ... බදින්න බැරිනම් හැදිගෑවිලා පලයව් TL එකේ රෙන්නෙ නැතුව,YES
1429,දෙයියන්ගෙ පිහිටෙන් time to leave twitter සෙට් වෙනව නං දැනුවත් කරපං whatsapp හරහා. අදාල එවුන් ගාව නම්බර් එක තියෙනව නෙහ්. ප.ලි. ඇර ගන්න තොපි ඔක්කොම හැඳි ගෑවිල පලයව්,YES
1430,පහලටද යන්නේ ? ඔය යට ඉන්න කෙල්ලන්ට ලයික් එකක් දාන් පලයව්. මොකද අද විතරයි උන් උබලාට හොදින් කතා කරන්නේ,YES
1431,උඹල ලංකාවට ආවෙ ලංකාවෙ ලස්සන බලන්ඩ නන්ං. ඒක බලල පලයව්. කවුරුත් මෙතන උඹලගෙ කටවල් වලට පුනීල ගහල බියර් පෙව්වෙ නෑනේ. ටෞකන්ඩ,YES
1432,"""කොහොමද බෞද්ධයෙක් කියන්නේ අපේ ආගමට ප්‍රමුඛස්ථානය දීලා වෙනත් ආගම් වලට වෙන තැන් දෙන්න කියල""-සුමන්තිරන් එහෙනම් මේකේ ඉන්නෙ? ආපු දිහාටම පලයව්",YES
1433,සප්‍රයිස් කරන්න ඔනානම් කෙල්ල එක්ක පැනලා පලයව්. මුලු හත්මුතු පරම්පරාමව ස්ප්‍රයිස් වෙයි,YES
1434,ඕපාදූප හොයන්න මගේ twitter account එකට එබෙන උන්ට කියන්නේ පාඩුවේ වැඩක් බලන් පලයව්,YES
1435,1991 නොබෙල් සාම තෑග්ග ගත්ත ගෑනිත් කියනවා රෝහින්‍යා මුස්ලිම්වරු එපා කියලා. සාම විනිසුරුකමක්වත් නැති එවුන් ටිකක් මැරෙන්න හදනවා. පලයව් අරාබියට!,YES
1436,අමා දිනුවා දැන් කන්න හිටපු උන් කන්න පලයවු නාලා නැතු උන් නාන්න පලයව් බඩේ අමාරුකාරයො ලැට් එකට පලයව් ඒලෙවල් කරන උන් පාඩම් කරන්න පලයව් පුබ්ග් ගහන උන් ඒකට පලයව් වලි දාගන්න උන් මාව මෙන්ෂන් කරපියව්,YES
1437,ගහමරාගන්නේ නැතිව සාමකාමීව පස්න විසදගන්න උසස් නායකයෝ ඉහල මට්ටමේ පාර්ලිමේන්තුවක්.. මෙහෙම කියන අයට පොඩ්ඩක් මතයකින් දෙකකින් දමල ගහපන් රිදෙන්න.. ආන්න මචං අපිට හිතෙනවා අඩෝ දැන් ඉන්න පාර්ලිමේන්තු බුවාල මුන්ට වඩා ගොඩක් හොදයි කියලා.,YES
1438,ඇගිල්ල බැරිනම් කකුලම හරි ගහ ගනින් අහින්සක මාව ඕවට ගාව ගන්න එපා හුත්තො ...මෙ ඇකට රිපොට් එකක් ගහපන් ලින්ක් එක පලවෙනි කොම්න්ට් එකෙ,YES
1439,අම්මපා ගහපන් හෙණ පිට හෙණ..,YES
1440,මගේ මූණ පෙන්නුවෙ නෑ හෙනම ගහපන් හෙනම ගහලා අකුලෝලම පලයන්,YES
1441,උඹලගේ සල්ලි හොරාකාල රටත් විනාස කරන හොර දේශපාලුවන්ට බෝතල් වලින් බැරිනම් පොලු වලින් හරි ගහපන්. පරාජය බාරගන්න බැරි උන් මැච් බලන්න එපා,YES
1442,ඔය බොතල් වලින් ගහපන් තිලංගටයී රිලාසිරිටයි,YES
1443,ඈත තියා එනකොට රතු ඉන්දියන් කාරයෙක් වගේ...එල එල..,NO
1444,Mewage aluthen hithana minissu nohitiyanm ubala coment karanne paken thama.......,YES
1445,auda eka hadapu mi haraka.hinawela badath rideawa...,YES
1446,AD ekak kyla htenne mata wtrd,NO
1447,Paw bam me ka kello lan wenna nehalu akalu me helmat aka haduwe oluwe issori hadanawalu kello selfi gahanna enna nahalu paw oi mu,YES
1448,Outa wada hodai helmet nethuwa yanna .......komath hulan para wadinawane......nawa soya ganimak,NO
1449,මේවා බලන්නද යකෝ ඩේටා කපං අපි එෆ් බී එන්නෙ,YES
1450,Mewa දාගෙන baik peddehekida ban හඳට යන්න වගේ nala පිරිසිදුව hitapallako oya මොකවත් kahanne ne,YES
1451,එළ කොල්ලෙක්.. ඒ මේ වීඩියෝ එක මාර විදියට පේජ් වලින් ස්පොන්සර් දාලා තිබ්බා.. වීඩියෝ එකක් මෙච්චර ස්පොන්සර් දාලා තිබ්බ දැක්කමයි..,NO
1452,Thawa mdified krpm ayye ela ela..,NO
1453,යකෝ මේක ඇති දැන්,YES
1454,මොකද්ද මේ විහිලුව..මුලු වොල් එකේම තියෙන්නෙ මේක...මේ ඇඩ් එක හදනවට වඩා ගානක් ගිහින් පේජ් ඇඩ්මින්වරුන්ට ගෙවන්න,NO
1455,Kohamada huttho meka pare dagena yanne,YES
1456,Oka shampoo akaka add akak wenna athi sure akatama. ponna weda munge api babala kylada danne hitagena inne,YES
1457,Meka aluth product launch ekak karanna gahapu AD ekak,YES
1458,වහිනකොට හීනියට වතුර එයි,NO
1459,අනෙ හුකැස් අපිත් හෙල්මට් දානව අපෙ කහන්නැනෙ තොපෙ හොරිද,YES
1460,යකො මොන දියුණුවක්ද එක,YES
1461,කොහෙද ඉතින් අපේ ඉන්න පක්කු ඉන්න කං මුං උට්ට උඩ දාං පුක මෙහෙක් කරන් කෑ ගැහුවත් ගහනවා සත්තයි මල්කාන්ති,YES
1462,මේකප් ගියම ඔකුන් යක්කු තමයි බොලවු,YES
1463,anushage katata denna thibanm,YES
1464,පැනියා බ්‍රෝ උගත් ඇඩ්මින් මඩුල්ල කඩේ ගිහින් 2015 කරගත්ත වෙනසේ නියමුවාට නේද මේ අපහාස කරන්නේ අප්පා,NO
1465,Mahinda 2015 di me damiyawa genapu eken therum ganna godak dewal thiyanawa. Mahinda hithana inne rate minissu okkama amu gonnu kiyala,YES
1466,උගෙ හම්බන්තොට පාරෙත් පාසල් වෙලාවෙ පුංචි දරුවො යන්න පාසල් නැතුව ලුණු විකුනනව,YES
1467,හෙන පුපුරා ඇගට වැටෙන්න ඕන ගසාකාපු සල්ලි වලට,YES
1468,Ohoma daala tommorowland 1 4tos danna epa huththo sahara flash ghanne owage,YES
1469,මීට කලින් දැකලා නෑ තමයි! කාලෙකින් දැක්කේ මේ පේජ් එකේ පෝස්ට් එකක්,NO
